4|Gesellschaft, Zivilisation, Kultur
41C26121|(halb-)geschälte Frucht, z.B. eine Zitrone
41C2613|Geflügel oder kleine Tiere waschen, reinigen
41C26131|gerupftes Geflügel
41C262|Essen (auf)teilen
41C2621|Fleisch schneiden
41C2622|Brot in Scheiben schneiden
41C263|vermischen, (ver)binden (Zubereitung von Lebensmitteln)
41C2631|Teig oder Eierteig zubereiten
41C264|glätten, schlagen (Zubereitung von Lebensmitteln)
41C265|verzieren, dekorieren (zubereitung von Lebensmitteln)
41C269|abwaschen
41C27|Küchengeräte
41C27(...)|Küchengeräte (mit NAMEN)
41C27(CAULDRON)|Küchengeräte: Kessel
41C27(COLANDER)|Küchengeräte: Seiher
41C27(FRYING PAN)|Küchengeräte: Bratpfanne
41C27(FUNNEL)|Küchengeräte: Trichter
41C27(GRATER)|Küchengeräte: Reibe
41C27(LADLE)|Küchengeräte: Schöpfkelle
41C27(PAN)|Küchengeräte: Pfanne
41C27(POT)|Küchengeräte: Topf
41C27(ROLLING-PIN)|Küchengeräte: Nudelholz
41C27(SIEVE)|Küchengeräte: Sieb
41C27(SKIMMER)|Küchengeräte: Schaumlöffel
41C3|gedeckter Tisch: Tafelgeschirr, Tafeldekoration etc.
41C31|Tafelgeschirr
41C311|Tafelmesser
41C312|Gabel
41C313|Löffel
41C314|Salzfäßchen, Salzstreuer
41C315|Gewürzdose, Gewürzstreuer
41C316|Eierbecher
41C317|Weinkühler
41C32|Trinkgefäße
41C321|Kelch
41C3211|Trinkhorn
41C3212|Nautiluskelch
41C322|Krug, Becher, Pokal
41C3221|Fuß eines Pokals
41C323|Trinkglas, Weinglas, Römer
41C323(...)|Trinkglas, Weinglas, Römer (mit NAMEN)
41C323(BERKEMEYER)|Trinkglas, Weinglas, Römer: Berkemeyer
41C323(PASGLAS)|Trinkglas, Weinglas, Römer: Pasglas
41C324|Trinkkrug
41C325|Tischbrunnen
41C326|Kanne (als Trinkgefäß)
41C327|Trinkgefäß in ungewöhnlicher Form
41C3271|Trinkgefäß in Form eines Tieres
41C3272|Trinkgefäß in anthropomorpher Form
41C32721|menschlicher Schädel als Trinkgefäß
41C3273|Trinkgefäß in Form eines Gegenstandes
41C33|Tee- und Kaffeeservice
41C331|Tasse und Untertasse
41C332|Kaffeekanne
41C333|Teekanne; Samowar
41C334|Zuckerdose
41C34|Eßservice, Eßgeschirr
41C341|Teller, Platte
